job_title,role,industry
Urgent Opening For Financial Counselor / Estimates: Service Line,"We have an urgent opening for Financial Counselor / Estimates: Service Line Brief Role & Responsibility: Taking effort to convert potential OPD Patient to IPD. Preparing accurate estimations regarding surgeries and other procedures and explaining them to the patients. Co-coordinating with Doctors and Patient. Patient counseling regarding billing, Top Up deposits, TPA activities. Educate patient about payment options & financial Assistance. Maintaining Data for financial Reporting. Co-ordination with Consultants, Nursing staff and Allied services for various patient services. Accurately performs registration process for new and existing customer. Ensure accurate information is given to the patient and relatives and satisfy their Queries. Preparing & Counseling Estimate for Surgical patients. Co-ordinate with billing team for completing daily discharges in the desired TAT. Solving queries and issues of patient in any services. Updating Audit Report. Reporting and escalating issues and daily updates occurring to Manager. Re-counseling. Follow-up with patients. Implementation and Promotion of new packages. NABH training Ensuring proper implementation of rules by staff. Training to the new employees. Perks and Benefits  Open / Bet in Industry Salary: Not Disclosed by Recruiter Industry: Medical / Healthcare / Hospitals Functional Area: Other Employment Type: Full Time, Permanent ",Medical / Healthcare / Hospitals
 Inbound Technical Sales Executives for International BPO,Voice,"IT-Software, Software Services"
 Operations Manager || Food Retail Company || Pune,Channel Sales,"Retail, Wholesale"
 PPC Executive,Retail Sales,"Banking, Financial Services, Broking"
 Senior Full Stack Developer,Programming & Design,"IT-Software, Software Services"
,,
"Informatica, PL/SQ",Programming & Design,IT-Software / Software Services
 Pre-Sales & Sales,Corporate Sales,"IT-Software, Software Services"
 Performance Test Engineers,Programming & Design,"IT-Software, Software Services"
 Junior Graphic designer,Creative,"Media, Entertainment, Internet"
 VOICE PROCESS TECH SUPPORT EXECUTIVE,Voice,"IT-Software, Software Services"
 Manager Business Development,Project Management,"Oil and Gas, Energy, Power, Infrastructure"
 Senior Business Development Manager,Retail Sales,"Internet, Ecommerce"
 Web Developer,Programming & Design,"IT-Software, Software Services"
 Senior Sales Manager,Retail Sales,"Real Estate, Property"
 PHP Developer for MNC 5 Day Working MNC.,Programming & Design,"Recruitment, Staffing"
 Digital Marketing Executive,Marketing,"IT-Software, Software Services"
 Senior Java Developer,Programming & Design,"IT-Software, Software Services"
" Electrical Engineer, Mecanical Engineer",Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
" Urgent Opening- Primary English Teacher, Vibgyor Electronic City",Language Teachers (TGT/PGT),"Education, Teaching, Training"
 Relationship Officer,Investment Banking,"Banking, Financial Services, Broking"
 EHS Officer/environment at Taloja and Badlapur Location,Safety/Health/Environment,"Pharma, Biotech, Clinical Research"
" Urgent Vacancy for Chief Operating Officer in Hospital,sangareddy,hyd",,"Medical, Healthcare, Hospitals"
 Engineer-desktop Support L1 @ Gurgaon & Ghaziabad,Technical Support,IT-Hardware & Networking
 PHP DEVELOPERS,Programming & Design,"IT-Software, Software Services"
 World's No 1 BPO Company is Hiring Again. - Voice Process/nightshift,Voice,"BPO, Call Centre, ITeS"
 Analyst & Executive Assistant - Executive Director,Analytics & BI,"Real Estate, Property"
 Vacancy For the post Customer Support Executive - BPO,Voice,"BPO, Call Centre, ITeS"
 Lotus Notes_bangalore || C2H For MNC,Programming & Design,"IT-Software, Software Services"
 Nagios Expert,Programming & Design,"IT-Software, Software Services"
Territory Business Executive – Derma Mumbai,Channel Sales,Pharma / Biotech / Clinical Research
SAP EWM – Chennai (need 30 days Joining),Programming & Design,IT-Software / Software Services
 Field Sales Executive_Powai,Retail Sales,"FMCG, Foods, Beverage"
 Administrative Officer,Administration/Facility Management,"Medical, Healthcare, Hospitals"
 Civil Engineer For REAL Estate CO. AT Kolkata,Site Engineering,"Real Estate, Property"
 BPO / web Chat Support / Rotational Shift / Ahmedabad Location,Voice,"BPO, Call Centre, ITeS"
 Analytics Technical Lead,Programming & Design,"Recruitment, Staffing"
 Therapist,Medical Professional,"Travel , Hotels , Restaurants , Airlines , Railways"
 Counselor,Teachers,"Recruitment, Staffing"
,,
 Firmware Engineer,Programming & Design,"IT-Software, Software Services"
 Assistant Vice President - Investment Back Office,Senior Management,Insurance
 SAP BW/ HANA,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Assistant Quality Incharge ( Should B From RMC Ind & Can Join Asap),,"Construction, Engineering, Cement, Metals"
 Urgent job Opening for HR Executive/hr Operation(background Verifying),HR/ Recruitment / IR,"IT-Software, Software Services"
 SAP ABAP Lead,Programming & Design,"IT-Software, Software Services"
 MTS II - Sys Engrg,Programming & Design,"Telcom, ISP"
 Senior Software Engineer,Programming & Design,"IT-Software, Software Services"
 Assistant Manager- Treasury,Finance/Audit,"Pharma, Biotech, Clinical Research"
 Senior Programmer,Programming & Design,"IT-Software, Software Services"
,,
 Hiring For Inbound /outbound International BPO Experienced Call US,Voice,"BPO, Call Centre, ITeS"
 Associate - Controls Room Business Analyst & Data Management,System Design/Implementation/ERP/CRM,"Banking, Financial Services, Broking"
 Interventional Cardiologist,Medical Professional,"Medical, Healthcare, Hospitals"
 Service Manager,Production/Manufacturing/Maintenance,"Internet, Ecommerce"
 Senior Technical Support Lead,Admin/Maintenance/Security/Datawarehousing,"Recruitment, Staffing"
 Marketing Manager,Marketing,"Consumer Electronics, Appliances, Durables"
 Sales Executives,Retail Sales,"IT-Software, Software Services"
 Senior Salesforce.com Administrator,Programming & Design,"IT-Software, Software Services"
 Senior Manager Operations,Operations,"Banking, Financial Services, Broking"
Software Engineer,Programming & Design,IT-Software / Software Services
 Java Developer,Programming & Design,"IT-Software, Software Services"
 Sr. Legal Specialist,,"Banking, Financial Services, Broking"
 Backend Architect,Programming & Design,"KPO, Research, Analytics"
 Team Manager (Direct sales) ,Retail Sales,"Recruitment, Staffing"
 Big4 is Hiring for EBS Functional Consultant (finance).,Programming & Design,"IT-Software, Software Services"
 Field Boy,Marketing Research,"Industrial Products, Heavy Machinery"
 Dot NetDeveloper,Programming & Design,"IT-Software, Software Services"
 Senior Security Engineer,Admin/Maintenance/Security/Datawarehousing,"Internet, Ecommerce"
 Service Engineer,Production/Manufacturing/Maintenance,"Construction, Engineering, Cement, Metals"
 Professor-Political Science,University Level,"Education, Teaching, Training"
 Data Entry | Back Office Executive | Fresher | Computer Operator,Other,"BPO, Call Centre, ITeS"
 Territory Account Manager,Institutional Sales,"BPO, Call Centre, ITeS"
 call Center / bpo Job / Fresher can Apply,Voice,"BPO, Call Centre, ITeS"
 Inbound Tech Process Executive required,Voice,"IT-Software, Software Services"
 Technical Executive / Technical Sales Executive,Other,"BPO, Call Centre, ITeS"
 Selenium Testing,Programming & Design,"IT-Software, Software Services"
 Sales Executive -real Estate Sales,Retail Sales,"Real Estate, Property"
 Business Development Executive,Corporate Sales,"IT-Software, Software Services"
 Associate Software Engineer(python/ui(javascript)/qa),Other,"IT-Software, Software Services"
 Freelance-MLM Network Marketing Leaders (work From Home),,"FMCG, Foods, Beverage"
 Assistant Manager/Manager - Retail Sales,Ticketing/Travel/Documentation,"Recruitment, Staffing"
" Marketing Manager,",Institutional Sales,"Retail, Wholesale"
 Business Analyst (SAP) - Pharmaceutical Co. - Hosur Road,Analytics & BI,"Pharma, Biotech, Clinical Research"
 API Delivery Manager - Soa/microservices,Project Management,"IT-Software, Software Services"
 Front Office Executive/Admin,,"Strategy, Management Consulting Firms"
 Software Architect,Programming & Design,"Internet, Ecommerce"
 Graphic Designer,Creative,"Banking, Financial Services, Broking"
 Digital Marketing Executive For Auto Mobile Industry Kolkata,Senior Management,"Automobile, Auto Anciliary, Auto Components"
 Urgent Opening For Home Tutors in West Delhi only,Teachers,"Education, Teaching, Training"
Senior Analyst - Order Management," Roles and responsibilities  Global Quote to Order Operations - part of the Global Finance Operations team, processing Migration Requests, validating documents, Products Mapping and calculation on support and license values as per procedures and guidelines set up for the process. Interact with Internal customers from different LOBs to process orders. Liaison with Sales, Contracts and VAD/Partners to ensure that all information is available to ensure accurate booking of orders and revenue in accordance with established procedures and guidelines. Provides administrative support for the accounting function including the areas of general ledger, accounts payable, accounts receivable, fixed assets, and inter-company transactions. Interact with other LOBs and Business functions as relevant on the process. Job Role & Career Level Senior Analyst, Job Description: Primary Skills: Transaction Handling: Should be able to process transactions as per defined standard operating procedures Should be able to carry out necessary research in Oracle systems like customer standards, installed base, quoting application, service contracts, etc. Should be able to work with stake holders and peer group on various process related questions / issues Should have the ability to serve as a primary point of contact for process related questions / escalations / issues Should be able to contribute to other activities like UAT, Transaction Audits, Reporting & Analysis, Documentation and Process Training Communication: Should be able to articulate clear and concise messages Should be able to demonstrate understanding of internal and/or external customer needs and how to meet them Should be able to effectively communicate with various stakeholders like Sales Teams, Development teams, Senior Management, etc. across geographies Adapting to Change: Shows willingness to adjust to changing work environments Should be flexible to work in any shift to meet global business requirements Should have the ability to multi-task in a fast paced environment in meeting timelines despite changing needs Problem Solving & Analytical Ability: Should be able to recognize problems, gather appropriate data, diagnose root cause of issues and provide effective workarounds, as required Should be able to analyze the data and draw inferences from both qualitative and quantitative data Should be able to bring forward process improvement ideas Result Orientation: Should persevere to deliver against objectives and take personal accountability for own performance Should demonstrate attention to detail in all aspects of work Should act with a sense of urgency and confidence to deliver quality work in a timely manner Other Skills: Should have the ability to learn the nuances of business & processes in a short period of time Should be a team player with good interpersonal skills Preferred Qualification/Skills Graduation in Science or Commerce 3-5 years of experience in KPO/BTO environment Should have good skills in MS Office Applications like Excel, Word and Power Point Hands on experience in Fusion application will be an added advantage Salary: Not Disclosed by Recruiter Industry: Other Functional Area: Other Employment Type: Permanent Job, Full Time ",Other
 Android App Developer,Programming & Design,"IT-Software, Software Services"
 Recruitment Coordinator - Leading Healthcare Consulting Firm,HR/ Recruitment / IR,"Strategy, Management Consulting Firms"
 Sales Executive Jewellery / Retail Industry,Retail Sales,"Recruitment, Staffing"
 Business Development Manager @ Kolkata,Accounts,"Automobile, Auto Anciliary, Auto Components"
 Sr. Infosec Consultant,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Finance Executive / Finance Manager,Accounts,"Recruitment, Staffing"
 Unit Sales Manager,Retail Sales,Insurance
 Executive - Functional / Support,Voice,"IT-Software, Software Services"
 Data Conversion,Back Office/Web/Transaction Processing,"IT-Software, Software Services"
 Backend / Hadoop Developer,Programming & Design,"IT-Software, Software Services"
 Marketing Manager- Fabrics Division (1 No.),Marketing,"Consumer Electronics, Appliances, Durables"
 Smart Contract Developer - Ethereum/solidity,Programming & Design,"IT-Software, Software Services"
 Software Positions in,Programming & Design,"Semiconductors, Electronics"
 Java Developers,Programming & Design,"IT-Software, Software Services"
 Community Manager Associate,Operations,"Recruitment, Staffing"
 Technical Delivery Manager,Programming & Design,"IT-Software, Software Services"
 SEO Specialist,Programming & Design,"Banking, Financial Services, Broking"
 Executive / Sr Executive HR Out Sourcing,HR/ Recruitment / IR,"Recruitment, Staffing"
 Accounts Executive,Accounts,"Travel , Hotels , Restaurants , Airlines , Railways"
 APM Civil(finishing),Site Engineering,"Real Estate, Property"
" Senior Executive, Consumer Insights",Marketing Research,"IT-Software, Software Services"
 Sr. Software Engineer,Programming & Design,"IT-Software, Software Services"
 B2B Sales Executive,Retail Sales,"Consumer Electronics, Appliances, Durables"
 Senior Consultant - Analytics - Sas/r/python,Analytics & BI,"Banking, Financial Services, Broking"
" Design Architect, Gurgaon",Architectural Services,"IT-Software, Software Services"
 Marketing Executive,Marketing,Other
 BUSINESS DIRECTOR,,"Recruitment, Staffing"
 Android Developer,Programming & Design,"IT-Software, Software Services"
 Accounts Executive,Accounts,"Accounting, Finance"
